,ClassNumber,ClassLetter,Subgroup,LessonName,TeacherID,Week,Weekday,StartHour,StartMinute,EndHour,EndMinute,Room,Required,Teacher
0,8,А,англ. Татьяна Петровна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
1,8,А,англ. Светлана Николаевна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
2,8,Б,англ. Татьяна Петровна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
3,8,Б,англ. Светлана Николаевна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
4,8,В,англ. Татьяна Петровна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
5,8,В,англ. Светлана Николаевна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
6,9,А,англ. Татьяна Петровна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
7,9,А,англ. Светлана Николаевна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
8,9,Б,англ. Татьяна Петровна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
9,9,Б,англ. Светлана Николаевна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
10,9,В,англ. Татьяна Петровна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
11,9,В,англ. Светлана Николаевна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
12,10,А,англ. Татьяна Петровна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
13,10,А,англ. Светлана Николаевна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
14,10,Б,англ. Татьяна Петровна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
15,10,Б,англ. Светлана Николаевна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
16,10,В,англ. Татьяна Петровна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
17,10,В,англ. Светлана Николаевна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
18,11,А,англ. Татьяна Петровна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
19,11,А,англ. Светлана Николаевна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
20,11,Б,англ. Татьяна Петровна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
21,11,Б,англ. Светлана Николаевна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
22,11,В,англ. Татьяна Петровна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
23,11,В,англ. Светлана Николаевна,"классный час ""Разговоры о важном""",1,0,0,8,0,8,30,,False,
24,8,А,англ. Татьяна Петровна,физика,1,0,0,8,35,9,15,14,False,
25,8,А,англ. Светлана Николаевна,физика,1,0,0,8,35,9,15,14,False,
26,8,А,англ. Татьяна Петровна,физика,1,0,0,9,30,10,10,14,False,
27,8,А,англ. Светлана Николаевна,физика,1,0,0,9,30,10,10,14,False,
28,8,Б,англ. Татьяна Петровна,история,1,0,0,8,35,9,15,6,False,
29,8,Б,англ. Светлана Николаевна,история,1,0,0,8,35,9,15,6,False,
30,8,Б,англ. Татьяна Петровна,история,1,0,0,9,30,10,10,6,False,
31,8,Б,англ. Светлана Николаевна,история,1,0,0,9,30,10,10,6,False,
32,8,В,англ. Татьяна Петровна,русский язык,1,0,0,8,35,9,15,5,False,
33,8,В,англ. Светлана Николаевна,русский язык,1,0,0,8,35,9,15,5,False,
34,8,В,англ. Татьяна Петровна,русский язык,1,0,0,9,30,10,10,5,False,
35,8,В,англ. Светлана Николаевна,русский язык,1,0,0,9,30,10,10,5,False,
36,9,А,англ. Татьяна Петровна,биология,1,0,0,8,35,9,15,2,False,
37,9,А,англ. Светлана Николаевна,биология,1,0,0,8,35,9,15,2,False,
38,9,А,англ. Татьяна Петровна,биология,1,0,0,9,30,10,10,2,False,
39,9,А,англ. Светлана Николаевна,биология,1,0,0,9,30,10,10,2,False,
40,9,Б,англ. Татьяна Петровна,география,1,0,0,8,35,9,15,7,False,
41,9,Б,англ. Светлана Николаевна,география,1,0,0,8,35,9,15,7,False,
42,9,Б,англ. Татьяна Петровна,география,1,0,0,9,30,10,10,7,False,
43,9,Б,англ. Светлана Николаевна,география,1,0,0,9,30,10,10,7,False,
44,9,В,англ. Татьяна Петровна,обществознание,1,0,0,8,35,9,15,4,False,
45,9,В,англ. Светлана Николаевна,обществознание,1,0,0,8,35,9,15,4,False,
46,9,В,англ. Татьяна Петровна,обществознание,1,0,0,9,30,10,10,4,False,
47,9,В,англ. Светлана Николаевна,обществознание,1,0,0,9,30,10,10,4,False,
48,10,А,англ. Татьяна Петровна,физическая культура,1,0,0,8,35,9,15,,True,
49,10,А,англ. Светлана Николаевна,физическая культура,1,0,0,8,35,9,15,,True,
50,10,А,англ. Татьяна Петровна,физическая культура,1,0,0,9,30,10,10,,True,
51,10,А,англ. Светлана Николаевна,физическая культура,1,0,0,9,30,10,10,,True,
52,10,Б,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,8,35,9,15,10,False,
53,10,Б,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,8,35,9,15,10,False,
54,10,Б,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,9,30,10,10,10,False,
55,10,Б,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,9,30,10,10,10,False,
56,10,В,англ. Татьяна Петровна,литература,1,0,0,8,35,9,15,12,False,
57,10,В,англ. Светлана Николаевна,литература,1,0,0,8,35,9,15,12,False,
58,10,В,англ. Татьяна Петровна,литература,1,0,0,9,30,10,10,12,False,
59,10,В,англ. Светлана Николаевна,литература,1,0,0,9,30,10,10,12,False,
60,11,А,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,8,35,9,15,11,False,
61,11,А,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,8,35,9,15,11,False,
62,11,А,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,9,30,10,10,11,False,
63,11,А,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,9,30,10,10,11,False,
64,11,Б,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,8,35,9,15,13,False,
65,11,Б,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,8,35,9,15,15,False,
66,11,Б,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,9,30,10,10,13,False,
67,11,Б,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,9,30,10,10,15,False,
68,11,В,англ. Татьяна Петровна,английский язык,1,0,0,8,35,9,15,8,False,
69,11,В,англ. Светлана Николаевна,английский язык,1,0,0,8,35,9,15,9,False,
70,11,В,англ. Татьяна Петровна,английский язык,1,0,0,9,30,10,10,8,False,
71,11,В,англ. Светлана Николаевна,английский язык,1,0,0,9,30,10,10,9,False,
72,8,А,англ. Татьяна Петровна,история,1,0,0,10,30,11,10,6,False,
73,8,А,англ. Светлана Николаевна,история,1,0,0,10,30,11,10,6,False,
74,8,А,англ. Татьяна Петровна,история,1,0,0,11,25,12,5,6,False,
75,8,А,англ. Светлана Николаевна,история,1,0,0,11,25,12,5,6,False,
76,8,Б,англ. Татьяна Петровна,биология,1,0,0,10,30,11,10,2,False,
77,8,Б,англ. Светлана Николаевна,биология,1,0,0,10,30,11,10,2,False,
78,8,Б,англ. Татьяна Петровна,биология,1,0,0,11,25,12,5,2,False,
